기간,항구공항명,수출건수,수출금액,수입건수,수입금액,무역수지
전체,전체,"114,438,770","7,783,756,740","187,631,889","7,077,774,348","705,982,392"
2000,포항(공)항,"21,495","1,777,454","2,690","2,448,391","-670,937"
2000,군산(공)항,"2,994","1,244,781","5,361","808,297","436,484"
2000,김해공항,"28,920","371,174","105,350","2,475,108","-2,103,933"
2000,청주공항,"2,332","36,532",11,505,"36,027"
2000,인천공항국제우편세관,"4,822","12,872","1,593","4,032","8,840"
2000,속초공항(삼척항),100,"7,795",23,353,"7,442"
2000,서울세관,112,602,173,"14,015","-13,413"
2001,인천공항,"939,725","28,675,528","1,320,698","29,698,888","-1,023,360"
2001,포항(공)항,"20,018","1,630,182","2,689","2,116,072","-485,889"
2001,군산(공)항,"4,163","947,898","5,454","829,687","118,211"
2001,김해공항,"28,883","261,568","88,913","1,790,930","-1,529,362"
2001,인천공항국제우편세관,"6,281","15,911","3,024","4,871","11,041"
2001,청주공항,"1,806","15,841",11,"2,890","12,951"
2001,김포공항,"1,104","10,193","20,096","190,945","-180,752"
2001,속초공항(삼척항),84,"6,990",31,402,"6,588"
2001,서울세관,74,290,61,"1,598","-1,308"
2002,인천공항,"1,493,624","47,717,098","2,043,213","46,333,515","1,383,583"
2002,포항(공)항,"15,932","1,448,234","3,036","2,283,532","-835,297"
2002,군산(공)항,"3,920","736,174","6,182","919,744","-183,571"
2002,김해공항,"35,841","312,073","97,678","1,861,864","-1,549,791"
2002,인천공항국제우편세관,"8,114","20,760","7,840","14,632","6,128"
2002,속초공항(삼척항),72,"4,966",4,62,"4,904"
2002,청주공항,"1,595","1,886",19,24,"1,862"
2002,김포공항,117,"1,044","32,456","56,412","-55,368"
2002,서울세관,53,415,58,"1,786","-1,371"
2003,인천공항,"1,701,150","62,456,876","2,194,923","55,589,747","6,867,130"
2003,포항(공)항,"14,324","2,165,757","3,674","3,040,077","-874,320"
2003,군산(공)항,"5,106","1,655,082","6,592","1,019,837","635,245"
2003,김해공항,"39,807","304,027","100,757","2,017,569","-1,713,543"
2003,인천공항국제우편세관,"9,851","28,716","8,915","14,992","13,724"
2003,속초공항(삼척항),78,"6,939",0,0,"6,939"
2003,청주공항,"1,221","3,050",31,32,"3,018"
2003,서울세관,26,"1,182",39,668,514
2003,김포공항,57,778,842,"18,825","-18,047"
2004,인천공항,"1,855,851","82,779,627","2,332,599","67,793,307","14,986,321"
2004,포항(공)항,"14,702","3,548,100","4,219","5,070,208","-1,522,109"
2004,군산(공)항,"5,989","2,542,394","7,269","1,205,090","1,337,304"
